Neighborhood,Latitude,Longitude
Alam Damai,3.0576900000000364,101.74388000000005
"Ampang, Kuala Lumpur",3.1484921138724,101.69672653590337
Bandar Menjalara,3.1903500000000236,101.62545000000006
Bandar Sri Permaisuri,3.1039100000000417,101.71226000000007
Bandar Tasik Selatan,3.072750000000042,101.71461000000005
Bandar Tun Razak,3.08280000000002,101.72281000000004
Bangsar,3.1292000000000257,101.67844000000008
Bangsar Park,3.1347800000000348,101.67262000000005
Bangsar South,3.111020000000053,101.66283000000004
Batu 11 Cheras,3.09898000000004,101.73499000000004
"Batu, Kuala Lumpur",3.1357600000000616,101.70837000000006
Brickfields,3.12916000000007,101.68406000000004
Bukit Bintang,3.147770000000037,101.70855000000006
Bukit Jalil,3.057800000000043,101.68965000000009
Bukit Kiara,3.1434800000000678,101.64433000000008
Bukit Nanas,3.152017197420035,101.70102760046613
Bukit Petaling,3.129290000000026,101.69892000000004
Bukit Tunku,3.17381000000006,101.68276000000009
"Cheras, Kuala Lumpur",3.061870000000056,101.74675000000008
Chow Kit,3.163590000000056,101.69811000000004
Damansara Heights,3.147980000000075,101.66798000000006
Damansara Town Centre,3.1387586696676304,101.6840455304707
"Damansara, Kuala Lumpur",3.1387586696676304,101.6840455304707
Dang Wangi,3.156685175474611,101.69807679810161
Desa Petaling,3.08331000000004,101.70438000000007
"Federal Hill, Kuala Lumpur",3.1363700000000563,101.68564000000003
Happy Garden,3.201630000000023,101.72107000000005
"Jalan Cochrane, Kuala Lumpur",3.132903045551973,101.72467816744994
Jalan Duta,3.180086208350838,101.67785384135225
Jinjang,3.209500000000048,101.65874000000008
"Kampung Baru, Kuala Lumpur",3.165460000000053,101.71028000000007
Kampung Datuk Keramat,3.166400000000067,101.73046000000005
Kampung Padang Balang,3.2094300000000544,101.69318000000004
Kepong,3.2175000000000296,101.63763000000006
KL Eco City,3.117140000000063,101.67388000000005
Kuchai Lama,3.0907400000000393,101.67733000000004
Lembah Pantai,3.1212018655338443,101.66389906168357
Maluri,3.147890000000075,101.69405000000006
Medan Tuanku,3.1592600000000743,101.69834000000009
Miharja,3.147890000000075,101.69405000000006
Mont Kiara,3.165320000000065,101.65243000000004
Pantai Dalam,3.094760000000065,101.66747000000004
"Pudu, Kuala Lumpur",3.133540000000039,101.71307000000007
Putrajaya,3.1258432855470684,101.71850881971983
Salak South,3.0810200000000236,101.69724000000008
Segambut,3.186390000000074,101.66810000000004
Semarak,3.1799164410297633,101.72143714871991
Sentul Raya,3.1874305003813963,101.69145318264098
Setapak,3.188160000000039,101.70415000000008
Setiawangsa,3.191802843003158,101.74007037312064
Shamelin,3.124580000000037,101.73597000000007
Sri Hartamas,3.162200000000041,101.65036000000003
Sri Petaling,3.0726000000000226,101.68252000000007
Sungai Besi,3.0499700000000303,101.70603000000006
Taman Bukit Maluri,3.2006600000000276,101.63337000000007
Taman Cheras Hartamas,3.0826300000000515,101.74671000000006
Taman Connaught,3.0826900000000705,101.73689000000007
Taman Desa,3.1029700000000275,101.68471000000005
Taman Ibukota,3.21216000000004,101.71540000000005
Taman Len Seng,3.069080000000042,101.74287000000004
Taman Melati,3.223570000000052,101.72399000000007
Taman Midah,3.093590000000063,101.72837000000004
Taman OUG,3.2100497379521316,101.63450794879562
Taman P. Ramlee,3.1936000000000604,101.70598000000007
Taman Sri Sinar,3.1900700000000484,101.65293000000008
Taman Taynton View,3.0870700000000397,101.73681000000005
Taman Tun Dr Ismail,3.1528300000000513,101.62271000000004
Taman U-Thant,3.157700000000034,101.72452000000004
Taman Wahyu,3.22240000000005,101.67173000000008
Titiwangsa,3.1806700000000205,101.70322000000004
Wangsa Maju,3.2039100000000644,101.73719000000006
